Position,MAN City (Team 1),Inter Milan (Team 2),Team 1 (matches_played),Team 2 (matches_played),Team 1 (Mins Played),Team 2 (Mins Played,Team 1 (Goals),Team 2 (Goals),Team 1 (Assists),Team 2 (Assists),Team 1 (No. of attempts),Team 2 (No. of attempts),Team 1 (Attempts_onTarget),Team 2 (Attempts_onTarget),Team 1 (Tackles),Team 2 (Tackles),Team 1 (Tackles_won),Team 2 (Tackles_won),Team 1 (Balls Recovered),Team 2 (Balls Recovered),Team 1 (Number_of_saves),Team 2 (Number_of_saves),Team 1 (clean_sheets),Team 2 (clean_sheets),Team 1 (Top_speed (km/hr)),Team 2 (Top_speed (km/hr),Team 1 (passing accuracy),Team 2 (passing accuracy),Result
3,Bernardo Silva,Valentin Carboni*,12,1,819,14,3,0,1,0,7,0,5,0,18,0,5,0,33,0,0,0,0,0,31.4,26.6,91.09,50,1
3,Kevin De Bruyne,Roberto Gagliardini,9,6,685,112,2,0,7,0,15,1,6,1,2,3,0,0,9,7,0,0,0,0,32.71,30,77.45,93.17,0
3,Kevin De Bruyne,Robin Gosens,9,10,685,404,2,1,7,0,15,3,6,3,2,17,0,10,9,15,0,0,0,0,32.71,32.3,77.45,74.7,0
3,Kevin De Bruyne,Kristjan Asllani,9,5,685,125,2,0,7,0,15,1,6,1,2,1,0,0,9,6,0,0,0,0,32.71,29.9,77.45,70.8,0
3,Kevin De Bruyne,Hakan Çalhano?lu,9,11,685,723,2,1,7,2,15,12,6,4,2,15,0,4,9,40,0,0,0,0,32.71,32,77.45,90.19,0
3,Kevin De Bruyne,Henrikh Mkhitaryan,9,12,685,903,2,2,7,0,15,15,6,8,2,14,0,5,9,48,0,0,0,0,32.71,32.5,77.45,84.17,0
3,Kevin De Bruyne,Nicolò Barella,9,11,685,907,2,3,7,0,15,17,6,5,2,16,0,8,9,32,0,0,0,0,32.71,33.71,77.45,79.91,0
3,Kevin De Bruyne,Marcelo Brozovi?,9,8,685,456,2,0,7,0,15,3,6,0,2,9,0,6,9,37,0,0,0,0,32.71,31,77.45,90.38,1
3,Kevin De Bruyne,Valentin Carboni*,9,1,685,14,2,0,7,0,15,0,6,0,2,0,0,0,9,0,0,0,0,0,32.71,26.6,77.45,50,1
3,Rodri,Roberto Gagliardini,11,6,906,112,1,0,0,0,15,1,3,1,14,3,6,0,64,7,0,0,0,0,31.6,30,93.64,93.17,1
3,Rodri,Robin Gosens,11,10,906,404,1,1,0,0,15,3,3,3,14,17,6,10,64,15,0,0,0,0,31.6,32.3,93.64,74.7,1
3,Rodri,Kristjan Asllani,11,5,906,125,1,0,0,0,15,1,3,1,14,1,6,0,64,6,0,0,0,0,31.6,29.9,93.64,70.8,1
3,Rodri,Hakan Çalhano?lu,11,11,906,723,1,1,0,2,15,12,3,4,14,15,6,4,64,40,0,0,0,0,31.6,32,93.64,90.19,1
3,Rodri,Henrikh Mkhitaryan,11,12,906,903,1,2,0,0,15,15,3,8,14,14,6,5,64,48,0,0,0,0,31.6,32.5,93.64,84.17,1
3,Rodri,Nicolò Barella,11,11,906,907,1,3,0,0,15,17,3,5,14,16,6,8,64,32,0,0,0,0,31.6,33.71,93.64,79.91,1
3,Rodri,Marcelo Brozovi?,11,8,906,456,1,0,0,0,15,3,3,0,14,9,6,6,64,37,0,0,0,0,31.6,31,93.64,90.38,1
3,Rodri,Valentin Carboni*,11,1,906,14,1,0,0,0,15,0,3,0,14,0,6,0,64,0,0,0,0,0,31.6,26.6,93.64,50,1
